"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3000","Позитивный сценарий заказа самоката через кнопку в шапке","tests","2026-04-17","passed","2026-04-17","TestOrder","test_order","",""
"","184","Проверка открытия ответа на вопрос 6","tests","2026-04-17","passed","2026-04-17","TestFAQ","test_faq","",""
"","2929","Позитивный сценарий заказа самоката через кнопку в шапке","tests","2026-04-17","passed","2026-04-17","TestOrder","test_order","",""
"","274","Проверка открытия ответа на вопрос 2","tests","2026-04-17","passed","2026-04-17","TestFAQ","test_faq","",""
"","251","Проверка открытия ответа на вопрос 4","tests","2026-04-17","passed","2026-04-17","TestFAQ","test_faq","",""
"","141","Проверка перехода на главную страницу при клике на логотип 'Самокат'","tests","2026-04-17","passed","2026-04-17","TestNavigation","test_navigation","",""
"","323","Проверка открытия ответа на вопрос 7","tests","2026-04-17","passed","2026-04-17","TestFAQ","test_faq","",""
"","207","Проверка открытия ответа на вопрос 1","tests","2026-04-17","passed","2026-04-17","TestFAQ","test_faq","",""
"","3080","Позитивный сценарий заказа самоката через кнопку в середине страницы","tests","2026-04-17","passed","2026-04-17","TestOrder","test_order","",""
"","219","Проверка открытия ответа на вопрос 3","tests","2026-04-17","passed","2026-04-17","TestFAQ","test_faq","",""
"","3426","Позитивный сценарий заказа самоката через кнопку в середине страницы","tests","2026-04-17","passed","2026-04-17","TestOrder","test_order","",""
"","172","Проверка открытия ответа на вопрос 5","tests","2026-04-17","passed","2026-04-17","TestFAQ","test_faq","",""
"","1207","Проверка перехода на главную страницу Дзена при клике на логотип 'Яндекс'","tests","2026-04-17","passed","2026-04-17","TestNavigation","test_navigation","",""
"","228","Проверка открытия ответа на вопрос 0","tests","2026-04-17","passed","2026-04-17","TestFAQ","test_faq","",""
